username,most_active_day,most_active_hour,freq_of_most_hashtag,location,verified,followers_count,friends_count,favourites_count,statuses_count,month_created,year_created,is_buzzer
Wizqi1,3,20,2,1,0,15,184,7,19097,10,2018,0
istanacipanas_,2,13,84,1,0,46,59,13,445,5,2017,0
m_sastrowiranu,6,0,2,1,0,18,55,3,30,2,2011,0
_ErPra,7,2,184,1,0,322,107,137,7110,9,2011,0
msprihartono,2,4,4,1,0,515,110,5015,2357,2,2017,0
Kel_Kencana,2,7,188,1,0,2322,1378,2154,5800,5,2014,0
furymagh,3,13,2,1,0,836,295,347,17818,4,2013,0
HariyantoS212,2,8,6,1,0,79,146,1176,589,4,2018,0
kresna_92,6,6,429,0,0,2,23,20,72,2,2019,0
JelajahPersada,4,1,7,0,0,50,249,310,482,12,2014,0
jamalscout1,5,7,5,1,0,84,143,148,258,10,2013,0
MPrambon,2,8,7,0,0,0,10,0,113,10,2018,0
FilosofiArsyita,7,12,445,1,0,6,25,234,59,4,2019,0
Chongky129,3,1,15,1,0,82,26,75,5891,3,2013,0
abdulmuis7671,1,5,204,1,0,141,62,49,304,7,2015,0
kopisastraa,2,11,1,1,0,5,16,60,25,4,2019,0
Elshinta_TV,6,3,425,1,0,18,87,4,76,3,2019,0
Purwa_HL,2,10,1,1,0,5,148,58,42,1,2014,0
herucipicuy1,7,1,2,1,0,44,148,2,155,12,2011,0
RinaSholiha,3,6,2,1,0,5,18,139,22,9,2018,0
ManilaSalma,3,4,2,0,0,8,41,19,54,3,2019,0
Mujib_Rohmat,4,8,8,1,0,62,250,0,80,3,2019,0
KopoBDG,4,12,47,1,0,2901,140,198,537862,9,2009,0
ArisSaiful2,1,15,6,1,0,174,815,10080,3163,7,2014,0
KPPBungo,5,11,67,1,0,481,235,6,656,9,2015,0
edlinmangundap,6,17,125,1,0,480,337,4,6673,5,2009,0
bukanracun,6,11,1,1,0,380,216,555,11148,6,2012,0
JuwitaManiss,3,14,177,1,0,336,119,2,3042,4,2016,0
GaloehbundaEl,7,6,4,0,0,20,174,19,112,9,2013,0
heiyul_,3,14,3,0,0,48,114,1055,1812,2,2016,0
PnewsId,2,16,73,1,0,17,176,198,795,12,2018,0
akbarnashar,7,14,2,1,0,332,124,368,19515,1,2011,0
Awangbagas3,7,12,3,1,0,27,130,204,223,1,2019,0
masadepannyakm,7,14,8,1,0,100,142,7047,580,12,2018,0
aisyahbnti,2,9,3,0,0,2,42,6,66,2,2019,0
kadiyono,2,8,5,1,0,1580,4997,67778,40758,10,2009,0
izalogitu,3,11,16,0,0,114,608,9608,2764,9,2016,0
gust50166758,7,15,6,1,0,139,643,6891,1327,7,2018,0
wrongwaykid,1,6,487,0,0,0,6,2,14,1,2017,0
juniararif12,2,18,9,1,0,11,22,83,75,12,2014,0
adde_saadah,6,11,7,1,0,21,109,325,233,12,2014,0
kbriamman,4,7,18,1,0,972,145,147,1067,8,2015,0
yan_sofiyan,1,23,121,0,0,883,872,1325,2010,6,2014,0
adypermadi,3,6,15,0,0,1154,1250,16,16251,3,2009,0
aristoxenous,4,15,10,0,0,8,6,222,219,10,2017,0
ErGalang_DB,6,13,1,1,0,0,9,43,18,5,2017,0
bstio,3,21,9,0,0,911,832,23139,46751,7,2009,0
wa_azid,3,11,8,1,0,241,632,8008,5809,10,2013,0
newsmerahputih,3,10,352,1,0,9046,217,159,85030,8,2014,0
nicetrainner,4,16,1,0,0,2672,366,533,30347,5,2011,0
rosmaladewisdk,1,10,179,1,0,201,84,5,3787,7,2016,0
Andikarnoldy,1,12,2,0,0,101,294,86,2567,6,2011,0
gigihadiguna,1,13,4,0,0,2863,1327,2545,63248,7,2011,0
greendulu,2,2,4,1,0,521,320,3137,11775,9,2009,0
mirabudioct,6,16,6,1,0,329,481,214,3271,9,2013,0
RidhaBogor,4,14,175,1,0,295,134,9,3164,4,2016,0
widdyhartati,5,15,1,1,0,61,112,1236,1006,11,2018,0
Udinanam3,2,11,2,1,0,2,4,0,3,12,2018,0
BNPTRI,5,9,20,1,1,78205,92,47,1883,4,2016,0
pewok,6,4,8,1,0,142,42,24,1571,7,2009,0
panwascammajal1,4,11,28,0,0,6,8,0,85,8,2018,0
agung_kusasti,1,15,7,1,0,438,300,216,5849,4,2011,0
kanuhate,2,11,2,1,0,587,740,49970,59270,12,2016,0
AchRojil,6,9,2,1,0,21,84,39,108,6,2018,0
panwascamgenuk,6,23,34,1,0,12,16,173,401,9,2017,0
Rose__Brand,4,14,1,1,0,3615,2084,4615,13977,6,2015,0
syita_cute,3,14,178,1,0,286,112,12,2918,4,2016,0
AlamSuteraInfo,5,4,48,1,0,4247,125,140,4886,11,2012,0
kontekstualcom,7,12,1,0,0,174,0,4,85,11,2018,0
RickyBimo,1,14,11,1,0,83,182,16,665,3,2014,0
HmsPoldaPapua,5,7,262,1,1,2500,35,178,4172,12,2016,0
HaniahHanamichi,3,14,98,1,0,286,352,7263,8916,8,2017,0
wafizazuhayra,3,8,3,1,0,2,21,16,84,10,2018,0
its_maulidya,2,3,5,1,0,217,165,43,4904,3,2014,0
AbymanyuAw19,1,8,249,1,0,23,138,2855,251,4,2018,0
Taufikarif95,7,3,2,1,0,4,88,122,44,5,2017,0
d_ibn94,7,2,453,1,0,171,100,3,54,10,2011,0
TBNewsSragen,2,1,310,0,0,47,26,1344,2137,7,2018,0
translatorbali,1,15,12,1,0,3694,1659,55084,182669,7,2009,0
DhinaKusumaN,2,16,7,1,0,506,282,1919,36385,2,2010,0
darisayadisini,4,17,1,0,0,386,195,460,976,12,2012,0
jeparakabgoid,5,0,15,1,1,4506,77,73,1880,4,2013,0
JogjaUpdate,2,15,2,1,1,876600,68962,3135,365500,3,2010,0
afifahnursheha,6,11,14,1,0,254,299,216,4079,11,2013,0
Dimashamdan8,6,14,1,1,0,26,45,201,12,7,2018,0
IPolseklhoong,3,13,16,0,0,0,2,0,102,3,2019,0
nanaayudong,3,14,177,1,0,315,107,0,3017,4,2016,0
hanifah932,4,4,22,1,0,1245,1209,37200,12770,12,2016,0
hanjenif,4,17,34,0,0,2595,2250,80369,63234,9,2017,0
hansri_darwin,4,23,18,0,0,36,126,1509,1929,8,2013,0
hansssolo,6,3,14,1,0,885,461,18368,36002,11,2010,0
harun_ar,6,13,9,1,0,407,899,119,18184,5,2009,0
HendryAripin,5,4,5,1,0,5,23,7,503,10,2013,0
hgberry,7,5,87,0,0,1528,695,177623,271720,3,2010,0
Husodo2019,3,14,6,0,0,169,160,387,11398,5,2018,0
hutriadiqr023,4,7,477,1,0,6,56,71,24,11,2016,0
i_Pras,7,11,33,1,0,952,170,13683,36562,1,2010,0
IbhamJ,6,10,17,1,0,644,435,8222,54946,9,2018,0
ibrahim_hen,1,14,186,1,0,8,37,747,749,1,2018,0
Idruslatif_bone,7,13,5,1,0,197,753,21306,8955,11,2018,0
ilhamiff,5,13,3,0,0,571,473,50,24535,4,2010,0
imelace,1,5,10,1,0,55,268,3124,3625,3,2010,0
Imnida03,7,23,5,1,0,3868,2552,101057,70940,8,2016,0
IMucharromah,2,13,3,0,0,418,1015,4693,16807,8,2013,0
